model,variable,csi,stability_band
model_a,dti,0.041646246621303194,stable
model_a,purpose,0.03624716808550129,stable
model_a,term,0.025754581319701125,stable
model_a,revol_util,0.013952480395236808,stable
model_a,home_ownership,0.010100717283659584,stable
model_a,inq_last_6mths,0.008671189830123265,stable
model_a,annual_inc,0.005676292341580842,stable
model_b,dti,0.041646246621303194,stable
model_b,purpose,0.03624716808550129,stable
model_b,int_rate,0.03149905211938333,stable
model_b,grade,0.029348746188744643,stable
model_b,sub_grade,0.026433394706756787,stable
model_b,term,0.025754581319701125,stable
model_b,revol_util,0.013952480395236808,stable
model_b,home_ownership,0.010100717283659584,stable
model_b,inq_last_6mths,0.008671189830123265,stable
model_b,annual_inc,0.005676292341580842,stable
