segment,category,count_defaulted,mean_ead,median_ead,mean_ead_ratio,median_ead_ratio
Overall,All,50968,10781.563111952599,9141.365,0.7193215216415322,0.7694356290322582
By Term, 36 months,32810,7764.785581834806,6378.635,0.6618750074993884,0.70199142794915
By Term, 60 months,18158,16232.629901420862,15482.470000000001,0.823122608160077,0.8591893376068376
By Grade,A,2897,7466.134880911288,6248.049999999999,0.6077272923604209,0.6416426666666666
By Grade,B,10759,8098.413412956595,6777.66,0.6387207801513916,0.6760840803709428
By Grade,C,14384,9858.350735539487,8385.825,0.7080628865428977,0.7485097368421052
By Grade,D,11848,11189.471495611073,9630.915,0.7442518077801482,0.7971898292079207
By Grade,E,6964,14298.745690695003,13491.380000000001,0.8017637674814437,0.847614619883041
By Grade,F,3192,15880.365673558896,15527.46,0.8336027041730112,0.877705
By Grade,G,924,17437.79063852814,16928.85,0.847166437592415,0.8880211416568395
