variable,n_bins,IV,iv_strength
grade,6,0.29372229001405914,medium
int_rate,12,0.27716676824101166,medium
inq_last_6mths,4,0.07571925966837287,weak
sub_grade,8,0.07429388210967226,weak
annual_inc,7,0.05953495901775015,weak
purpose,5,0.05131527263885798,weak
tot_cur_bal,6,0.03838598061854187,weak
home_ownership,4,0.03387187502079584,weak
total_rev_hi_lim,6,0.025916784497048026,weak
term,2,0.02457905324344863,weak
dti,6,0.02339475580361443,weak
revol_util,8,0.02076102396327873,weak
emp_length,11,0.018537499295568523,useless
total_acc,7,0.01728282015189752,useless
tot_coll_amt,2,0.010068899820899518,useless
open_acc,8,0.009196231051143495,useless
addr_state,5,0.005801109257213551,useless
initial_list_status,2,0.005782447199441797,useless
revol_bal,3,0.004968502869283027,useless
verification_status,3,0.004103412945909499,useless
mths_since_last_delinq,3,0.0033574562538773826,useless
funded_amnt_inv,2,0.00266782160416364,useless
mths_since_last_major_derog,3,0.001012898403641274,useless
mths_since_last_record,2,0.0007226777141762167,useless
loan_amnt,2,0.00010695722638017979,useless
collections_12_mths_ex_med,2,9.709630399235454e-05,useless
funded_amnt,2,8.797108742507456e-05,useless
delinq_2yrs,2,2.7110756508127422e-05,useless
pub_rec,2,2.7110756508127422e-05,useless
acc_now_delinq,2,2.7110756508127422e-05,useless
earliest_cr_line,2,2.7110756508127422e-05,useless
installment,2,2.741226967717446e-09,useless
zip_code,1,0.0,useless
policy_code,1,0.0,useless
application_type,1,0.0,useless
open_il_6m,1,0.0,useless
open_acc_6m,1,0.0,useless
open_il_24m,1,0.0,useless
mths_since_rcnt_il,1,0.0,useless
total_bal_il,1,0.0,useless
open_il_12m,1,0.0,useless
il_util,1,0.0,useless
open_rv_12m,1,0.0,useless
max_bal_bc,1,0.0,useless
open_rv_24m,1,0.0,useless
all_util,1,0.0,useless
inq_fi,1,0.0,useless
total_cu_tl,1,0.0,useless
inq_last_12m,1,0.0,useless
