decile,count,mean_predicted_lgd,mean_actual_lgd,abs_error
1,1020,0.9065407353133591,0.9147862643646908,0.00824552905133169
2,1019,0.9177525052701793,0.9176841337745058,6.837149567351375e-05
3,1019,0.9226053275629303,0.923016634156958,0.00041130659402766057
4,1020,0.9262440776371399,0.9248062372701236,0.0014378403670163298
5,1019,0.9293705191231585,0.9244329190779261,0.00493760004523236
6,1019,0.9323464641406503,0.935174764014142,0.0028282998734917575
7,1020,0.9353736099452044,0.9313177213077142,0.004055888637490179
8,1019,0.9386883649779997,0.9367999379962489,0.0018884269817507349
9,1019,0.9428807035548014,0.9436624156290532,0.0007817120742518169
10,1020,0.9498349271390771,0.9523991250841152,0.002564197945038038
