month,n_at_risk,n_defaults,hazard,survival,cumulative_pd
1,466285,376,0.0008063737842735666,0.9991936262157264,0.0008063737842736174
2,465909,0,0.0,0.9991936262157264,0.0008063737842736174
3,465909,0,0.0,0.9991936262157264,0.0008063737842736174
4,465909,576,0.001236292924154717,0.9979583302057754,0.0020416697942245987
5,465333,1007,0.0021640416647862926,0.9957987067994895,0.0042012932005105474
6,464326,1305,0.00281052536364537,0.9929999892769442,0.007000010723055783
7,463021,1640,0.003541955980398297,0.9894828270263893,0.010517172973610656
8,461381,1825,0.003955516156928872,0.9855689117170827,0.014431088282917282
9,459556,2121,0.004615324356552847,0.9810201915137735,0.01897980848622649
10,457435,2241,0.004899056696579842,0.9762141179750579,0.02378588202494214
11,455194,2388,0.00524611484334152,0.9710927866004694,0.028907213399530618
12,452806,2539,0.005607257854357054,0.9656476189454944,0.034352381054505554
13,450267,2624,0.005827653370111511,0.9600201593446066,0.039979840655393395
14,447643,2836,0.006335405669249826,0.9539380421845006,0.04606195781549938
15,444807,2715,0.006103770848929985,0.9481154229709295,0.051884577029070456
16,442092,2570,0.005813269636184323,0.9426037723709746,0.05739622762902541
17,439522,2311,0.005257984810771702,0.937647576053272,0.06235242394672802
18,437211,2188,0.005004448652938741,0.932955166904361,0.06704483309563902
19,435023,1955,0.004494015258963319,0.9287624521483641,0.07123754785163594
20,433068,1872,0.004322646789880573,0.9247477401160233,0.07525225988397666
21,431196,1760,0.004081670516424086,0.920973224530062,0.07902677546993797
22,429436,1497,0.0034859676412783277,0.9177627416708665,0.08223725832913353
23,427939,1486,0.0034724575231516643,0.9145758495340832,0.08542415046591678
24,426453,1304,0.0030577812795313905,0.9117792766226664,0.08822072337733355
25,425149,1239,0.0029142724080263626,0.9091221034345948,0.09087789656540524
26,423910,1086,0.0025618645467198227,0.9067930557491664,0.09320694425083365
27,422824,1027,0.002428906589975971,0.9045905401203128,0.09540945987968719
28,421797,927,0.002197739670979168,0.902602485604298,0.09739751439570199
29,420870,763,0.0018129113502981919,0.9009661473133387,0.09903385268666132
30,420107,729,0.0017352722044621965,0.8994027258007444,0.10059727419925557
31,419378,592,0.0014116143431462786,0.8981331160127393,0.10186688398726074
32,418786,569,0.0013586891634390834,0.896912832280687,0.10308716771931303
33,418217,491,0.0011740316629883529,0.8958598282166489,0.10414017178335111
34,417726,397,0.000950383744368318,0.8950084175986792,0.10499158240132078
35,417329,327,0.000783554461827479,0.8943071297596966,0.10569287024030338
36,417002,309,0.0007410036402703105,0.893644444921025,0.10635555507897498
37,416693,280,0.0006719575322839597,0.8930439538050766,0.10695604619492338
38,416413,215,0.0005163143321654223,0.8925828624124734,0.10741713758752658
39,416198,142,0.0003411837634971816,0.8922783276322424,0.10772167236775765
40,416056,100,0.0002403522602726556,0.8920638665194036,0.10793613348059639
41,415956,93,0.0002235813403340738,0.8918644176844636,0.10813558231553644
42,415863,62,0.00014908756008589368,0.8917314517945035,0.10826854820549647
43,415801,51,0.00012265482766996713,0.8916220766269558,0.1083779233730442
44,415750,48,0.00011545399879735418,0.8915191352927933,0.10848086470720675
45,415702,49,0.00011787289933654397,0.8914140493475023,0.10858595065249765
46,415653,37,8.901655948591734e-05,0.891334698735752,0.108665301264248
47,415616,40,9.624268555589775e-05,0.8912489142906166,0.10875108570938341
48,415576,36,8.662675419177238e-05,0.8911717082899946,0.10882829171000541
49,415540,27,6.497569427732589e-05,0.8911138037895281,0.10888619621047191
50,415513,30,7.21999071027862e-05,0.8910494654556764,0.10895053454432357
51,415483,23,5.5357258901086203e-05,0.8910001393997236,0.10899986060027644
52,415460,20,4.813941173638858e-05,0.8909572471771557,0.10904275282284426
53,415440,25,6.017716156364337e-05,0.8909036318989461,0.10909636810105394
54,415415,27,6.499524571813728e-05,0.8908457273984797,0.10915427260152033
55,415388,15,3.6110816874825464e-05,0.8908135582315538,0.10918644176844616
56,415373,13,3.129717145794262e-05,0.8907856782868848,0.10921432171311518
57,415360,9,2.166795069337442e-05,0.8907663767867293,0.10923362321327068
58,415351,13,3.129882918302833e-05,0.8907384968420603,0.1092615031579397
59,415338,7,1.6853743216368354e-05,0.8907234845641616,0.10927651543583838
60,415331,2,4.815436362804607e-06,0.8907191953419049,0.10928080465809509
