variable,coefficient,std_err,p_value,significant,positive_sign_flag
const,-3.338358952555544,0.013505157555074658,0.0,True,False
grade,-0.6177356689449116,0.06601012327249367,8.11097059280867e-21,True,False
int_rate,-0.23583215491046608,0.06987275970604802,0.0007377120877789122,True,False
inq_last_6mths,-0.7479812298098215,0.045807491041612636,6.158662211839957e-60,True,False
sub_grade,-0.10681878639429465,0.06262305190142817,0.08805607677152616,False,False
annual_inc,-0.9201898451505992,0.05831475972590225,4.291729724008975e-56,True,False
purpose,-0.7180066322081361,0.05767965186641953,1.4307226316339216e-35,True,False
home_ownership,-0.4658269541876927,0.07529469837668361,6.143028997587428e-10,True,False
term,-0.016832305517654057,0.09070180366893864,0.85277530787265,False,False
dti,-0.4887087082874253,0.08614099069760821,1.400248947542063e-08,True,False
revol_util,-0.22394572476852767,0.09483398804406794,0.018203624567325997,True,False
