variable,bin,woe,coefficient,points
inq_last_6mths,"[-inf, 1.00)",0.16209296650302582,-1.0844990568428585,88
inq_last_6mths,"[1.00, 2.00)",-0.30222356934913647,-1.0844990568428585,74
inq_last_6mths,"[2.00, inf)",-0.6027549523979399,-1.0844990568428585,64
inq_last_6mths,MISSING,0.5127105116428781,-1.0844990568428585,99
annual_inc,"[-inf, 40000.00)",-0.3151110717974862,-0.9755935005626747,74
annual_inc,"[40000.00, 50000.00)",-0.14358302334695733,-0.9755935005626747,79
annual_inc,"[50000.00, 65000.00)",-0.025731283062298597,-0.9755935005626747,83
annual_inc,"[65000.00, 75000.00)",0.10483017146975457,-0.9755935005626747,86
annual_inc,"[75000.00, 102200.00)",0.23304127431788055,-0.9755935005626747,90
annual_inc,"[102200.00, inf)",0.4281773208067405,-0.9755935005626747,95
annual_inc,MISSING,-1.139984028966721,-0.9755935005626747,51
purpose,debt_consolidation,0.022607392136912492,-0.9386059107349009,84
purpose,OTHER,-0.38182201353331696,-0.9386059107349009,73
purpose,credit_card,0.3264118471193592,-0.9386059107349009,92
purpose,other,-0.42622751947957077,-0.9386059107349009,72
purpose,home_improvement,0.10612822497269492,-0.9386059107349009,86
home_ownership,MORTGAGE,0.19562632438130903,-0.7789452522451575,88
home_ownership,RENT,-0.185427290073715,-0.7789452522451575,79
home_ownership,OWN,-0.05934163056196116,-0.7789452522451575,82
home_ownership,OTHER,-0.5567292433888952,-0.7789452522451575,71
term, 36 months,0.09545772815990682,-1.1989186158625496,87
term, 60 months,-0.25801428814332167,-1.1989186158625496,74
dti,"[-inf, 9.45)",0.1690639090827189,-0.6835411671635325,87
dti,"[9.45, 14.05)",0.10686265068253198,-0.6835411671635325,85
dti,"[14.05, 18.30)",0.09312267061902038,-0.6835411671635325,85
dti,"[18.30, 21.82)",-0.06108433754293683,-0.6835411671635325,82
dti,"[21.82, 26.72)",-0.1760041063112557,-0.6835411671635325,80
dti,"[26.72, inf)",-0.2757545265911968,-0.6835411671635325,78
revol_util,"[-inf, 28.90)",0.1565132868023729,-1.177748215983892,89
revol_util,"[28.90, 39.60)",0.10640457660311951,-1.177748215983892,87
revol_util,"[39.60, 51.90)",0.09711470910399993,-1.177748215983892,87
revol_util,"[51.90, 65.60)",0.08418289429532289,-1.177748215983892,86
revol_util,"[65.60, 76.00)",-0.0653116719489341,-1.177748215983892,81
revol_util,"[76.00, 87.70)",-0.11561237762289522,-1.177748215983892,79
revol_util,"[87.70, inf)",-0.2808821965714602,-1.177748215983892,74
revol_util,MISSING,-1.0559876957462393,-1.177748215983892,47
