variable,bin,woe,coefficient,points
grade,B,0.40104245673801936,-0.6177356689449116,65
grade,A,1.0539059470179157,-0.6177356689449116,77
grade,D,-0.46297136456495874,-0.6177356689449116,50
grade,C,-0.08006147478849075,-0.6177356689449116,57
grade,E,-0.622431227062742,-0.6177356689449116,47
grade,OTHER,-0.9685932280899704,-0.6177356689449116,41
int_rate,"[-inf, 6.92)",1.3971341796113035,-0.23583215491046608,68
int_rate,"[6.92, 7.90)",0.8904080617857404,-0.23583215491046608,64
int_rate,"[7.90, 9.99)",0.8130528725614516,-0.23583215491046608,64
int_rate,"[9.99, 11.14)",0.5550485154922504,-0.23583215491046608,62
int_rate,"[11.14, 12.12)",0.3417850008703939,-0.23583215491046608,61
int_rate,"[12.12, 13.11)",0.19182725389040742,-0.23583215491046608,60
int_rate,"[13.11, 14.30)",-0.061900353978905684,-0.23583215491046608,58
int_rate,"[14.30, 15.31)",-0.08428312137594687,-0.23583215491046608,58
int_rate,"[15.31, 16.78)",-0.15673067790306125,-0.23583215491046608,57
int_rate,"[16.78, 18.55)",-0.3686561728839594,-0.23583215491046608,56
int_rate,"[18.55, 19.72)",-0.5668401220550151,-0.23583215491046608,54
int_rate,"[19.72, inf)",-0.7195518597298068,-0.23583215491046608,53
inq_last_6mths,"[-inf, 1.00)",0.16209296650302582,-0.7479812298098215,62
inq_last_6mths,"[1.00, 2.00)",-0.30222356934913647,-0.7479812298098215,52
inq_last_6mths,"[2.00, inf)",-0.6027549523979399,-0.7479812298098215,45
inq_last_6mths,MISSING,0.5127105116428781,-0.7479812298098215,69
sub_grade,B4,0.3161198189683693,-0.10681878639429465,59
sub_grade,OTHER,-0.18389941723588427,-0.10681878639429465,58
sub_grade,B5,0.10127571601212629,-0.10681878639429465,59
sub_grade,B1,0.6760186237309739,-0.10681878639429465,60
sub_grade,C2,-0.0006312138116356541,-0.10681878639429465,58
sub_grade,B3,0.3959835279873492,-0.10681878639429465,60
sub_grade,C1,0.07848531335822705,-0.10681878639429465,59
sub_grade,B2,0.5965548216237575,-0.10681878639429465,60
annual_inc,"[-inf, 40000.00)",-0.3151110717974862,-0.9201898451505992,50
annual_inc,"[40000.00, 50000.00)",-0.14358302334695733,-0.9201898451505992,55
annual_inc,"[50000.00, 65000.00)",-0.025731283062298597,-0.9201898451505992,58
annual_inc,"[65000.00, 75000.00)",0.10483017146975457,-0.9201898451505992,61
annual_inc,"[75000.00, 102200.00)",0.23304127431788055,-0.9201898451505992,65
annual_inc,"[102200.00, inf)",0.4281773208067405,-0.9201898451505992,70
annual_inc,MISSING,-1.139984028966721,-0.9201898451505992,28
purpose,debt_consolidation,0.022607392136912492,-0.7180066322081361,59
purpose,OTHER,-0.38182201353331696,-0.7180066322081361,50
purpose,credit_card,0.3264118471193592,-0.7180066322081361,65
purpose,other,-0.42622751947957077,-0.7180066322081361,50
purpose,home_improvement,0.10612822497269492,-0.7180066322081361,61
home_ownership,MORTGAGE,0.19562632438130903,-0.4658269541876927,61
home_ownership,RENT,-0.185427290073715,-0.4658269541876927,56
home_ownership,OWN,-0.05934163056196116,-0.4658269541876927,58
home_ownership,OTHER,-0.5567292433888952,-0.4658269541876927,51
term, 36 months,0.09545772815990682,-0.016832305517654057,58
term, 60 months,-0.25801428814332167,-0.016832305517654057,58
dti,"[-inf, 9.45)",0.1690639090827189,-0.4887087082874253,61
dti,"[9.45, 14.05)",0.10686265068253198,-0.4887087082874253,60
dti,"[14.05, 18.30)",0.09312267061902038,-0.4887087082874253,60
dti,"[18.30, 21.82)",-0.06108433754293683,-0.4887087082874253,57
dti,"[21.82, 26.72)",-0.1760041063112557,-0.4887087082874253,56
dti,"[26.72, inf)",-0.2757545265911968,-0.4887087082874253,54
revol_util,"[-inf, 28.90)",0.1565132868023729,-0.22394572476852767,59
revol_util,"[28.90, 39.60)",0.10640457660311951,-0.22394572476852767,59
revol_util,"[39.60, 51.90)",0.09711470910399993,-0.22394572476852767,59
revol_util,"[51.90, 65.60)",0.08418289429532289,-0.22394572476852767,59
revol_util,"[65.60, 76.00)",-0.0653116719489341,-0.22394572476852767,58
revol_util,"[76.00, 87.70)",-0.11561237762289522,-0.22394572476852767,58
revol_util,"[87.70, inf)",-0.2808821965714602,-0.22394572476852767,57
revol_util,MISSING,-1.0559876957462393,-0.22394572476852767,52
